Block,Plot,Tree sp.,Tree Ref,Class,Order,Family,Genus,Species,Abundance,Juv,Comment,,,4055
C,1,Oak,10056,Insecta,Hemiptera,Aphididae,,,44,,,,,
C,1,Birch,10069,Insecta,Hemiptera,Aphididae,,,31,,,,,
C,1,Birch,10069, Insecta,Coleoptera,,,,1,Yes,,,,
C,1,Alder,10020,Insecta,Hemiptera,Aphididae,,,31,,,,,
C,2,Oak,20027,Insecta,Hemiptera,Aphididae,,,3,,,,,
C,2,Oak,20027, Insecta,Coleoptera,Curculionidae ,Polydrusus ,pterygomalis,1,,Specimen in bad shape,,,
C,2,Birch,20034,Insecta,Hemiptera,Aphididae,,,13,,,,,
C,2,Birch,20034,Insecta,Coleoptera,,,,1,Yes,,,,
C,2,Alder,20056,Insecta,Hemiptera,Aphididae,,,3,,,,,
C,2,Alder,20056,Insecta,Diptera,,,,1,,,,,
A,3,Oak,30043,Insecta,Hemiptera,Aphididae,,,13,,,,,
A,3,Birch,30060,Insecta,Hemiptera,Aphididae,,,2,,,,,
A,3,Alder,30044,Insecta,Hemiptera,Aphididae,,,3,,,,,
A,3,Alder,30044,Arachnida," 	Araneae",,,,1,Yes,,,,
A,4,Oak,40041,Insecta,Hemiptera,Aphididae,,,12,,,,,
A,4,Birch,40057,Insecta,Hemiptera,Aphididae,,,15,,,,,
A,4,Alder,40069,Insecta,Coleoptera,Curculionidae,Exapion,araneiformis,1,,,,,
A,4,Alder,40069, Insecta,Coleoptera,Cantharidae,Cantharis ,lateralis,1,,,,,
A,5,Sitka,50056,Insecta,Hemiptera,Aphididae,,,160,,,,,
A,5,Sitka,50056,Arachnida," 	Araneae",,,,1,Yes,,,,
A,5,Sitka,50056,Arachnida," 	Araneae",Theridiidae,Phylloneta, impressa,2,,Male,,,
A,5,Sitka,50056,Insecta,Hemiptera,Aphrophoridae,,,2,Yes,,,,
A,5,Sitka,50056,Insecta,Hymenoptera,,,,1,,Chalcidoidae,,,
A,6,Sitka,60047,Arachnida," 	Araneae",Thomisidae,,,1,Yes,,,,
A,6,Sitka,60047,Insecta,Hymenoptera,,,,2,,Chalcidoidae,,,
A,6,Sitka,60047,Insecta,Hymenoptera,Ichneumonidae,,,1,,,,,
A,6,Sitka,60047,Arachnida," 	Araneae",Theridiidae,Phylloneta, impressa,1,,,,,
A,6,Sitka,60047,Insecta,Hemiptera,Miridae,Stenodema ,calcarata,1,,Specimen in bad shape,,,
A,6,Sitka,60047,Insecta,Hemiptera,Aphididae,,,115,,,,,
A,7,Oak,70010, Insecta,Hemiptera,Aphididae,,,7,,,,,
A,7,Oak,70010,Arachnida," 	Araneae",Clubionidae,,,1,Yes,,,,
A,7,Oak,70010,Insecta,Coleoptera,Scarabaeidae,Phyllopertha ,horticola,1,,,,,
A,7,Birch,70049, Insecta,Hemiptera,Aphididae,,,55,,,,,
A,7,Birch,70049,Arachnida," 	Araneae",Theridiidae,Phylloneta, impressa,1,,Male,,,
A,7,Alder,70070,Arachnida," 	Araneae",,,,1,Yes,,,,
A,7,Alder,70070,Insecta,Hymenoptera,,,,1,,,,,
A,7,Alder,70070, Insecta,Hemiptera,Aphididae,,,67,,,,,
A,7,Alder,70070,Insecta,Lepidoptera,Geometridae,,,1,Yes,,,,
A,8,Sitka,80026, Insecta,Hemiptera,Aphididae,,,28,,,,,
A,8,Sitka,80026, Insecta,Coleoptera,Staphylinidae,,,1,,,,,
A,8,Sitka,80026,Arachnida," 	Araneae",Theridiidae,Phylloneta, impressa,1,,Male,,,
A,8,Sitka,80026,Arachnida," 	Araneae",Theridiidae,,,2,Yes,,,,
A,8,Sitka,80026,Insecta,Hemiptera,Lygaeidae,Scolopostethus ,thomsoni,1,,,,,
A,8,Sitka,80026, Insecta,Coleoptera,Apionidae,Perapion ,curtirostre,1,,,,,
A,10,Sitka,no tag,Insecta,Hemiptera,Aphididae,,,26,,,,,
A,10,Sitka,no tag,Insecta,Coleoptera,Coccinellidae,Coccidula,rufa,1,,,,,
A,10,Sitka,no tag,Insecta,Hemiptera,Miridae,Plagiognathus, arbustorum,1,,,,,
A,11,Oak,110084,Insecta,Hemiptera,Aphididae,,,23,,,,,
A,11,Oak,110084,Insecta,Coleoptera,,,,1,Yes,,,,
A,11,Birch,110041,Insecta,Hemiptera,Aphididae,,,38,,,,,
A,11,Birch,110041,Arachnida," 	Araneae",,,,2,Yes,,,,
A,11,Alder,110056,Arachnida," 	Araneae",,,,1,Yes,,,,
A,11,Alder,110056,Insecta,Hemiptera,Aphididae,,,32,,,,,
A,11,Alder,110056,Insecta,Coleoptera,,,,1,Yes,,,,
B,12,Oak,120044,Insecta,Hemiptera,Aphididae,,,15,,,,,
B,12,Oak,120044,Insecta,Diptera,Rhagionidae,Rhagio, tringarius,1,,,,,
B,12,Birch,120054, Insecta,Hemiptera,Aphididae,,,24,,,,,
B,12,Birch,120054,Insecta,Coleoptera,,,,2,Yes,,,,
B,12,Alder,120049, Insecta,Hemiptera,Aphididae,,,138,,,,,
B,13,Sitka,130009, Insecta,Hemiptera,Aphididae,,,89,,,,,
B,13,Sitka,130009,Insecta,Coleoptera,,,,2,Yes,,,,
B,13,Sitka,130009,Insecta,Hemiptera,Aphrophoridae,,,2,Yes,,,,
B,13,Sitka,130009,Arachnida," 	Araneae",Theridiidae,Phylloneta, impressa,1,,Male,,,
B,14,Sitka,140035,Insecta,Hemiptera,Aphididae,,,6,,,,,
B,14,Sitka,140035,Arachnida," 	Araneae",,,,1,Yes,,,,
B,14,Sitka,140035,Insecta,Coleoptera,,,,2,Yes,,,,
B,15,Oak,150005,Insecta,Hemiptera,Aphididae,,,6,,,,,
B,15,Oak,150005,Arachnida," 	Araneae",,,,1,Yes,,,,
B,15,Oak,150005,Arachnida," 	Araneae",Theridiidae,Phylloneta, impressa,1,,Female,,,
B,15,Birch,150045,Insecta,Coleoptera,Cantharidae,Cantharis,flavilabris,1,,,,,
B,15,Birch,150045,Insecta,Diptera,,,,1,,,,,
B,15,Birch,150045,Insecta,Hemiptera,Aphididae,,,33,,,,,
B,15,Alder,150065,Insecta,Hemiptera,Aphididae,,,206,,,,,
B,15,Alder,150065, Insecta,Hemiptera,Cixiidae,Tachycixius ,pilosus,1,,,,,
B,15,Alder,150065,Insecta,Coleoptera,,,,1,Yes,,,,
B,17,Sitka,170064,Insecta,Hemiptera,Aphididae,,,321,,,,,
B,17,Sitka,170064,Insecta,Coleoptera,Cantharidae,Cantharis,flavilabris,2,,,,,
B,18,Oak,180025,Insecta,Hemiptera,Aphididae,,,43,,,,,
B,18,Oak,180025,Insecta,Coleoptera,,,,1,Yes,,,,
B,18,Oak,180025,Insecta,Coleoptera,Cantharidae,Cantharis,flavilabris,1,,,,,
B,18,Birch,180035,Insecta,Hemiptera,Aphididae,,,44,,,,,
B,18,Birch,180035,Insecta,Diptera,,,,1,Yes,,,,
B,18,Alder,180046,Insecta,Coleoptera,Cantharidae,Rhagonycha ,fulva,1,,,,,
B,18,Alder,180046, Insecta,Hemiptera,Cixiidae,Tachycixius ,pilosus,1,,,,,
B,19,Sitka,190009,Insecta,Hemiptera,Aphididae,,,65,,,,,
B,19,Sitka,190009,Insecta,Hemiptera,,,,1,Yes,,,,
B,19,Sitka,190009,Insecta,Coleoptera,,,,1,Yes,,,,
B,19,Sitka,190009,Arachnida," 	Araneae",,,,1,yes,,,,
B,19,Sitka,190009,Insecta,Hemiptera,Miridae,Pithanus ,maerkelii,2,,,,,
B,20,Oak,200032, Insecta,Hemiptera,Aphididae,,,22,,,,,
B,20,Birch,200051, Insecta,Hemiptera,Aphididae,,,61,,,,,
B,20,Alder,200045, Insecta,Hemiptera,Aphididae,,,346,,,,,
C,22,Sitka,220007,Insecta,Hemiptera,Aphididae,,,105,,,,,
C,22,Sitka,220007,Arachnida," 	Araneae",,,,6,yes,,,,
C,22,Sitka,220007,Insecta,Coleoptera,,,,1,Yes,,,,
C,22,Sitka,220007,Insecta,Diptera,Cecidomyiidae,,sp_a,2,,,,,
C,23,Sitka,230100, Insecta,Hemiptera,Aphididae,,,182,,,,,
C,23,Sitka,230100,Insecta,Coleoptera,,,,1,Yes,,,,
C,23,Sitka,230100,Insecta,Diptera,Cecidomyiidae,,sp_a,1,,,,,
C,23,Sitka,230100, Insecta,Hemiptera,Aphididae,,,39,,,,,
C,24,Oak,240097,Arachnida," 	Araneae",,,,1,Yes,,,,
C,24,Birch,240056,Insecta,Lepidoptera,,,,2,Yes,,,,
C,24,Alder,240066, Insecta,Hemiptera,Aphididae,,,47,,,,,
C,25,Oak,250001, Insecta,Hemiptera,Aphididae,,,3,,,,,
C,25,Oak,250001, Insecta,Hemiptera,Cixiidae,Tachycixius ,pilosus,1,,,,,
C,26,Oak,260024,Insecta,Hemiptera,Aphididae,,,40,,,,,
C,26,Oak,260024,Insecta,Diptera,Tabanidae,Haematopota ,pluvialis,1,,,,,
C,26,Birch,260006,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,,,
C,26,Alder,260045, Insecta,Hemiptera,Aphididae,,,71,,,,,
C,27,Sitka,270029, Insecta,Hemiptera,Aphididae,,,10,,,,,
C,27,Sitka,270029,Insecta,Coleoptera,,,,1,Yes,Probably 14-punctata but early instar,,,
C,27,Sitka,270029,Insecta,Hemiptera,Aphrophoridae,,,14,Yes,,,,
C,27,Sitka,270029,Arachnida," 	Araneae",,,,1,Yes,,,,
C,27,Sitka,270029,Arachnida," 	Araneae",Theridiidae,Enoplognatha ,ovata,1,,,,,
D,28,Oak,280050, Insecta,Hemiptera,Aphididae,,,15,,,,,
D,28,Oak,280050,Arachnida," 	Araneae",,,,1,Yes,,,,
D,28,Birch,280014, Insecta,Hemiptera,Aphididae,,,24,,,,,
D,28,Alder,280036, Insecta,Hemiptera,Aphididae,,,14,,,,,
D,29,Sitka,290063, Insecta,Hemiptera,Aphididae,,,29,,,,,
D,29,Sitka,290063,Insecta,Hemiptera,Aphrophoridae,,,1,Yes,,,,
D,29,Sitka,290063,Insecta,Coleoptera,,,,2,Yes,,,,
D,29,Sitka,290063,Arachnida," 	Araneae",,,,2,Yes,,,,
D,29,Sitka,290063, Insecta,Hemiptera,Miridae,Leptopterna ,ferrugata,1,,Specimen in bad shape,,,
D,29,Sitka,290063,Arachnida," 	Araneae",Theridiidae,Phylloneta, impressa,1,,Male,,,
D,29,Sitka,290063,Insecta,Coleoptera,Cantharidae,Cantharis,flavilabris,1,,,,,
D,31,Oak,310040, Insecta,Hemiptera,Aphididae,,,2,,,,,
D,31,Oak,310040, Insecta,Hemiptera,Miridae,Leptopterna ,ferrugata,1,,Specimen in bad shape,,,
D,31,Birch,310054,Insecta,Diptera,Rhagionidae,Rhagio, tringarius,1,,,,,
D,31,Birch,310054,Arachnida," 	Araneae",Theridiidae,Phylloneta, impressa,1,,,,,
D,31,Birch,310054, Insecta,Hemiptera,Aphididae,,,69,,,,,
D,31,Alder,310038, Insecta,Hemiptera,Aphididae,,,69,,,,,
D,31,Alder,310038,Insecta,Coleoptera,Cantharidae,Cantharis ,flavilabris,4,,,,,
D,32,Sitka,320058, Insecta,Hemiptera,Aphididae,,,25,,,,,
D,32,Sitka,320058,Arachnida," 	Araneae",,,,2,Yes,,,,
D,32,Sitka,320058,Insecta,Coleoptera,Cantharidae,Cantharis,rufa,1,,,,,
D,32,Sitka,320058,Arachnida," 	Araneae",Theridiidae,Phylloneta,,1,Yes,,,,
D,33,Oak,330048, Insecta,Hemiptera,Aphididae,,,33,,,,,
D,33,Birch,330035, Insecta,Hemiptera,Aphididae,,,41,,,,,
D,33,Birch,330035, Insecta,Hemiptera,Aphrophoridae,,,3,Yes,,,,
D,33,Alder,330028, Insecta,Hemiptera,Aphididae,,,6,,,,,
D,33,Alder,330028, Insecta,Hemiptera,Aphrophoridae,,,1,Yes,,,,
D,34,Sitka,340042, Insecta,Hemiptera,Aphididae,,,16,,,,,
