date_in,date_out,block,plot,treatment,basalt_present,microbiome_present,tree_species,tree_id,green_id,green_weight_before,green_weight_after,green_damage_percentage,rooibus_id,rooibus_weight_before,rooibos_weight_after,rooibow_damage_percentage,litterbag_weight_before,litterbag_weight_after,notes
05/07/2023,13/10/2023,A,11,broadleaf+microbiome,n,y,birch,169,9,2.165,1.142,0,14,3.123,2.744,2,5.000,,
05/07/2023,13/10/2023,A,11,broadleaf+microbiome,n,y,cherry,170,12,2.134,0.857,1,19,2.908,2.609,10,5.000,,
05/07/2023,13/10/2023,A,11,broadleaf+microbiome,n,y,alder,171,14,2.198,0.997,5,12,3.487,3,5,5.000,,
05/07/2023,13/10/2023,A,11,broadleaf+microbiome,n,y,oak,172,18,2.241,0.999,0,11,3.229,2.483,0,5.000,,
05/07/2023,13/10/2023,A,11,broadleaf+microbiome,n,y,aspen,173,15,1.760,1.061,1,10,3.275,3.215,20,5.000,,
05/07/2023,13/10/2023,A,11,broadleaf+microbiome,n,y,rowan,174,20,1.852,NA,NA,23,3.198,3.111,20,5.000,,
05/07/2023,13/10/2023,A,3,broadleaf,n,n,aspen,187,7,2.193,1.044,3,22,3.093,2.622,2,5.000,,
05/07/2023,13/10/2023,A,3,broadleaf,n,n,oak,189,10,2.181,1.099,0,18,2.863,2.332,2,5.000,,
05/07/2023,13/10/2023,A,3,broadleaf,n,n,alder,188,8,2.374,1.321,5,5,3.054,2.429,2,5.000,,
05/07/2023,13/10/2023,A,3,broadleaf,n,n,rowan,191,4,2.315,1.102,0,2,3.186,2.555,0,5.000,,
05/07/2023,13/10/2023,A,3,broadleaf,n,n,birch,190,3,2.143,1.369,0,3,3.126,2.68,10,5.000,,
05/07/2023,13/10/2023,A,3,broadleaf,n,n,cherry,192,6,1.964,1.367,0,6,2.909,2.609,0,5.000,,
05/07/2023,13/10/2023,A,4,broadleaf+microbiome+basalt,y,y,oak,183,1,2.258,1.114,5,9,3.256,2.816,20,5.000,,
05/07/2023,13/10/2023,A,4,broadleaf+microbiome+basalt,y,y,alder,182,5,2.209,1.16,1,8,3.223,2.657,0,5.000,,
05/07/2023,13/10/2023,A,4,broadleaf+microbiome+basalt,y,y,birch,181,16,1.895,1.002,0,13,2.268,2.612,10,5.000,,
05/07/2023,13/10/2023,A,4,broadleaf+microbiome+basalt,y,y,cherry,184,2,2.235,0.951,0,21,2.854,2.155,2,5.000,,
05/07/2023,13/10/2023,A,4,broadleaf+microbiome+basalt,y,y,rowan,185,11,2.085,1.131,0,17,3.096,2.55,1,5.000,0.605,
05/07/2023,13/10/2023,A,7,broadleaf+basalt,y,n,oak,175,24,1.998,1.237,5,16,3.231,2.561,0,5.000,,
05/07/2023,13/10/2023,A,7,broadleaf+basalt,y,n,alder,176,13,2.164,1.034,10,20,2.892,2.569,1,5.000,,
05/07/2023,13/10/2023,A,7,broadleaf+basalt,y,n,cherry,177,17,1.999,1.073,5,7,3.286,3.002,2,5.000,,
05/07/2023,13/10/2023,A,7,broadleaf+basalt,y,n,birch,178,19,2.000,1.257,1,24,3.162,2.958,25,5.000,,
05/07/2023,13/10/2023,A,7,broadleaf+basalt,y,n,aspen,179,22,1.877,1.212,0,1,3.044,2.898,2,5.000,,
05/07/2023,13/10/2023,A,7,broadleaf+basalt,y,n,rowan,180,23,1.742,1.077,0,15,3.570,2.888,25,5.000,,
06/07/2023,15/10/2023,B,12,broadleaf+microbiome+basalt,y,y,birch,145,49,1.901,1.202,5,51,3.079,2.59,10,5.000,,
06/07/2023,15/10/2023,B,12,broadleaf+microbiome+basalt,y,y,aspen,146,50,1.899,0.933,0,50,3.325,2.688,0,5.000,,
06/07/2023,15/10/2023,B,12,broadleaf+microbiome+basalt,y,y,oak,147,51,2.242,1.431,10,49,3.200,2.666,0,5.000,,
06/07/2023,15/10/2023,B,12,broadleaf+microbiome+basalt,y,y,rowan,148,52,1.890,1.068,0,52,3.044,NA,NA,5.000,,
06/07/2023,15/10/2023,B,12,broadleaf+microbiome+basalt,y,y,alder,149,53,1.867,1.116,0,54,3.306,2.827,2,5.000,,
06/07/2023,15/10/2023,B,12,broadleaf+microbiome+basalt,y,y,cherry,150,54,2.113,1.183,10,53,2.998,2.385,0,5.000,,
06/07/2023,15/10/2023,B,18,broadleaf,n,n,cherry,151,65,1.450,0.932,5,65,2.930,2.383,0,5.000,,
06/07/2023,15/10/2023,B,18,broadleaf,n,n,birch,152,66,2.062,0.936,0,66,2.93,2.551,5,5.000,,
06/07/2023,15/10/2023,B,18,broadleaf,n,n,alder,153,64,1.907,0.954,0,64,2.909,3.774,12,5.000,,
06/07/2023,15/10/2023,B,18,broadleaf,n,n,rowan,154,63,1.477,0.951,15,63,2.728,2.208,1,5.000,,
06/07/2023,15/10/2023,B,18,broadleaf,n,n,oak,155,61,1.996,0.894,0,62,3.195,2.57,20,5.000,,
06/07/2023,15/10/2023,B,18,broadleaf,n,n,aspen,156,62,1.925,1.167,3,61,3.087,2.409,2,5.000,,
06/07/2023,15/10/2023,B,15,broadleaf+microbiome,n,y,aspen,157,59,1.736,0.809,5,55,3.030,2.68,7,5.000,,
06/07/2023,15/10/2023,B,15,broadleaf+microbiome,n,y,rowan,160,56,2.139,0.843,0,56,3.237,2.449,0,5.000,,
06/07/2023,15/10/2023,B,15,broadleaf+microbiome,n,y,oak,158,57,1.900,0.678,10,57,3.397,2.451,7,5.000,,
06/07/2023,15/10/2023,B,15,broadleaf+microbiome,n,y,birch,159,60,2.214,0.998,7,58,2.893,2.297,5,5.000,,
06/07/2023,15/10/2023,B,15,broadleaf+microbiome,n,y,cherry,161,58,2.155,0.999,20,60,2.827,2.317,5,5.000,,
06/07/2023,15/10/2023,B,15,broadleaf+microbiome,n,y,alder,162,55,2.163,0.924,0,59,3.232,2.543,2,5.000,,
06/07/2023,15/10/2023,B,20,broadleaf+basalt,y,n,oak,163,84,2.026,NA,NA,84,3.105,2.275,10,5.000,,
06/07/2023,15/10/2023,B,20,broadleaf+basalt,y,n,birch,164,83,2.273,1.132,0,83,3.039,2.513,5,5.000,,
06/07/2023,15/10/2023,B,20,broadleaf+basalt,y,n,alder,165,82,1.913,1.002,0,80,2.904,2.112,10,5.000,,
06/07/2023,15/10/2023,B,20,broadleaf+basalt,y,n,cherry,166,81,2.314,1.176,0,79,3.132,NA,NA,5.000,,
06/07/2023,15/10/2023,B,20,broadleaf+basalt,y,n,aspen,167,79,2.283,1.304,2,81,3.140,2.493,3,5.000,,
06/07/2023,15/10/2023,B,20,broadleaf+basalt,y,n,rowan,168,80,2.066,1.241,0,82,3.102,2.612,0,5.000,,
06/07/2023,12/10/2023,C,26,broadleaf+basalt,y,n,alder,1,30,2.041,1.172,0,30,3.058,2.371,5,5.000,,
06/07/2023,12/10/2023,C,26,broadleaf+basalt,y,n,aspen,2,27,2.062,1.089,0,25,2.027,2.416,6,5.000,,
06/07/2023,12/10/2023,C,26,broadleaf+basalt,y,n,birch,3,26,1.967,0.204,3,29,3.976,2.353,1,5.000,,
06/07/2023,12/10/2023,C,26,broadleaf+basalt,y,n,cherry,4,29,1.938,0.918,0,27,3.215,2.416,1,5.000,,
06/07/2023,12/10/2023,C,26,broadleaf+basalt,y,n,oak,5,46,1.901,1.002,0,26,3.52,2.934,0,5.000,,
06/07/2023,12/10/2023,C,26,broadleaf+basalt,y,n,rowan,6,25,1.84,0.922,0,28,3.295,2.648,5,5.000,,
06/07/2023,12/10/2023,C,2,broadleaf+microbiome+basalt,y,y,cherry,7,87,1.893,0.922,0,89,3.358,2.589,0,5.000,,
06/07/2023,12/10/2023,C,2,broadleaf+microbiome+basalt,y,y,birch,8,86,2.173,0.898,2,85,2.932,2.482,4,5.000,,
06/07/2023,12/10/2023,C,2,broadleaf+microbiome+basalt,y,y,aspen,9,85,2.054,1.245,0,88,3.254,2.659,0,5.000,,
06/07/2023,12/10/2023,C,2,broadleaf+microbiome+basalt,y,y,oak,11,90,2.081,1.002,0,87,3.277,1.947,1,5.000,,
06/07/2023,12/10/2023,C,2,broadleaf+microbiome+basalt,y,y,alder,10,89,2.075,0.999,0,86,3.248,2.537,7,5.000,,
06/07/2023,12/10/2023,C,2,broadleaf+microbiome+basalt,y,y,rowan,12,88,1.922,1.091,4,90,3.133,2.305,15,5.000,,
06/07/2023,12/10/2023,C,1,broadleaf,n,n,oak,13,72,2.154,1.09,3,67,2.883,2.152,3,5.000,,
06/07/2023,12/10/2023,C,1,broadleaf,n,n,cherry,14,68,2.193,1.199,0,70,2.916,NA,NA,5.000,,
06/07/2023,12/10/2023,C,1,broadleaf,n,n,alder,15,69,2.129,1.335,0,69,2.902,2.261,10,5.000,,
06/07/2023,12/10/2023,C,1,broadleaf,n,n,aspen,16,67,2.198,1.074,5,71,2.934,2.357,3,5.000,,
06/07/2023,12/10/2023,C,1,broadleaf,n,n,birch,17,70,2.283,1.113,1,72,2.955,2.381,1,5.000,,
06/07/2023,12/10/2023,C,1,broadleaf,n,n,rowan,18,71,2.285,1.212,0,68,3.193,2.506,0,5.000,,
06/07/2023,12/10/2023,C,24,broadleaf+microbiome,n,y,alder,19,73,2.212,1.354,0,78,2.999,2.411,12,5.000,,
06/07/2023,12/10/2023,C,24,broadleaf+microbiome,n,y,cherry,20,77,2.374,NA,NA,77,3.042,2.415,0,5.000,,
06/07/2023,12/10/2023,C,24,broadleaf+microbiome,n,y,oak,21,78,2.213,1.075,0,76,2.998,2.422,20,5.000,,
06/07/2023,12/10/2023,C,24,broadleaf+microbiome,n,y,birch,22,75,2.283,1.203,0,75,2.927,1.972,50,5.000,,
06/07/2023,12/10/2023,C,24,broadleaf+microbiome,n,y,rowan,23,74,2.128,0.261,20,74,3.076,NA,NA,5.000,,empty bag - potentially don’t include?
06/07/2023,12/10/2023,C,24,broadleaf+microbiome,n,y,aspen,24,76,2.488,1.453,0,73,2.960,NA,NA,5.000,,
06/07/2023,13/10/2023,D,28,broadleaf,n,n,birch,25,42,1.679,0.888,0,39,3.471,2.814,0,5.000,,
06/07/2023,13/10/2023,D,28,broadleaf,n,n,oak,26,39,1.747,0.778,0,40,3.551,2.715,0,5.000,,
06/07/2023,13/10/2023,D,28,broadleaf,n,n,rowan,27,38,2.052,1.027,0,41,3.416,NA,NA,5.000,,
06/07/2023,13/10/2023,D,28,broadleaf,n,n,alder,28,40,1.998,0.969,5,42,3.658,2.962,20,5.000,,
06/07/2023,13/10/2023,D,28,broadleaf,n,n,aspen,29,41,1.964,0.998,10,37,3.432,2.714,0,5.000,,
06/07/2023,13/10/2023,D,28,broadleaf,n,n,cherry,30,37,1.705,0.873,3,38,3.828,3.088,10,5.000,,
06/07/2023,13/10/2023,D,31,broadleaf+microbiome+basalt,y,y,cherry,31,92,1.874,0.869,2,93,3.32,2.384,0,5.000,,
06/07/2023,13/10/2023,D,31,broadleaf+microbiome+basalt,y,y,alder,32,91,2.071,NA,NA,92,3.480,2.577,0,5.000,,
06/07/2023,13/10/2023,D,31,broadleaf+microbiome+basalt,y,y,rowan,33,95,2.101,0.924,0,96,3.095,2.321,0,5.000,,
06/07/2023,13/10/2023,D,31,broadleaf+microbiome+basalt,y,y,birch,34,94,2.161,1.086,1,91,3.415,2.871,25,5.000,,
06/07/2023,13/10/2023,D,31,broadleaf+microbiome+basalt,y,y,oak,35,96,1.860,0.998,5,95,3.432,2.686,0,5.000,,
06/07/2023,13/10/2023,D,31,broadleaf+microbiome+basalt,y,y,aspen,36,93,2.194,1.148,0,94,3.404,2.575,2,5.000,,
06/07/2023,13/10/2023,D,33,broadleaf+microbiome,n,y,cherry,37,34,1.888,0.964,10,34,3.507,2.673,4,5.000,,
06/07/2023,13/10/2023,D,33,broadleaf+microbiome,n,y,rowan,38,35,1.835,1.131,3,47,3.381,2.625,2,5.000,,
06/07/2023,13/10/2023,D,33,broadleaf+microbiome,n,y,alder,39,33,2.100,0.904,0,36,3.753,2.913,0,5.000,,
06/07/2023,13/10/2023,D,33,broadleaf+microbiome,n,y,aspen,40,36,1.869,0.91,0,35,3.482,2.624,0,5.000,,
06/07/2023,13/10/2023,D,33,broadleaf+microbiome,n,y,birch,41,32,1.878,0.874,0,31,3.276,2.535,5,5.000,,
06/07/2023,13/10/2023,D,33,broadleaf+microbiome,n,y,oak,42,31,2.001,0.863,0,32,3.149,2.261,0,5.000,,
06/07/2023,13/10/2023,D,35,broadleaf+basalt,y,n,cherry,43,102,3.057,1.712,0,100,2.677,2.304,10,5.000,,
06/07/2023,13/10/2023,D,35,broadleaf+basalt,y,n,birch,44,101,2.267,1.324,5,101,2.685,1.956,7,5.000,,
06/07/2023,13/10/2023,D,35,broadleaf+basalt,y,n,rowan,45,99,2.056,1.167,0,102,2.674,2.185,2,5.000,,
06/07/2023,13/10/2023,D,35,broadleaf+basalt,y,n,oak,46,97,2.354,1.218,0,98,2.863,2.355,15,5.000,,
06/07/2023,13/10/2023,D,35,broadleaf+basalt,y,n,alder,47,98,2.054,1.145,0,97,2.967,2.564,15,5.000,,
06/07/2023,13/10/2023,D,35,broadleaf+basalt,y,n,aspen,48,100,2.232,1.189,0,99,2.780,2.147,15,5.000,,
07/07/2023,14/10/2023,E,39,broadleaf+microbiome+basalt,y,y,alder,61,127,2.292,NA,NA,127,3.051,2.465,0,5.000,,
