Barcode,Height (cm),Tree type,Health,Diameter (mm),Notes,Created By,Date,Cell No.,Link Record,Tree classification,Basalt,Soil Innoculation,Group (from Link Record),Download image name,Cell Planted Date (from Link Record),Plant week no (from Link Record),1st Measure Week No.,Weeks of growth to first measure,Height/Week of growth (cm),Plant height reference,Size range at planting (cm),Age (from Plant height reference 2),Diameter (mm) 12-21,Height (cm) 12-21,12-21 Update date,12-21 Updated by,Replanted 2-22,Diameter at base 2-22 replant,Height 2-22 replant,Replant measured by,Replant 2-22 measure date,Base Diameter (mm) (10-22),Diameter at 1.3m (mm) (10-22),Top Whorl Height (cm) (10-22),Height to tip (cm) (10-22),Dead (10-22),Remeasured 10-22 by,10-22 Remeasure date,Conifer/ Broadleaf,Health (10-23),"Height to tip (cm, 10-23)","Diameter at 1.3m (mm, 10-23)","Base Diameter (mm, 10-23)",Collector (10-23),10-23 Data Collection,Location Est X/Y accuracy,Location Est Z accuracy,X,Y,Z,Notes 10-23,Location Offset
10001,29,Birch,Healthy,0.9,,Heather Allen,28/6/2021 1:52pm,1,1,Native Broadleaf,No,No,C,010001-2021-06-28,03/05/2021,19,27,8,4,2,20-40,1/0,10.5,38,3/12/2021 1:35pm,Melanie Meaden,,,,,,30,7,,184,,TCC8 CarbonCom,7/10/2022 2:09pm,Broadleaf,Alive,288,15,33,TCC9 CarbonCom,05/10/2023 13:55,0.01,0.02,280526.7157,241930.7005,221.0554,,West
10002,20,Birch,Healthy,2.4,,Andrea Casale,28/6/2021 1:20pm,1,1,Native Broadleaf,No,No,C,010002-2021-06-28,03/05/2021,19,27,8,3,2,20-40,1/0,,,,,,,,,,16,5,,170,,TCC10 CarbonCom,7/10/2022 2:25pm,Broadleaf,Alive,208,8,22,TCC11 CarbonCom,05/10/2023 14:13,0.01,0.02,280525.9,241932.2222,220.8758,,West
10003,30.7,Birch,Healthy,2.6,,Andrea Casale,28/6/2021 1:21pm,1,1,Native Broadleaf,No,No,C,010003-2021-06-28,03/05/2021,19,27,8,4,2,20-40,1/0,,,,,,,,,,17,3,,171,,TCC10 CarbonCom,7/10/2022 2:24pm,Broadleaf,Alive,260,12,30,TCC11 CarbonCom,05/10/2023 14:12,0.01,0.02,280524.047,241931.567,220.8625,,West
10004,32,Birch,Healthy,3.2,,Heather Allen,28/6/2021 1:33pm,1,1,Native Broadleaf,No,No,C,010004-2021-06-28,03/05/2021,19,27,8,4,2,20-40,1/0,,,,,,,,,,26,8,,185,,TCC10 CarbonCom,7/10/2022 2:22pm,Broadleaf,Alive,291,18,37,TCC11 CarbonCom,05/10/2023 14:09,0.01,0.02,280520.7447,241929.7542,220.9718,,West
10005,25,Birch,Healthy,3,,Andrea Casale,28/6/2021 1:22pm,1,1,Native Broadleaf,No,No,C,010005-2021-06-28,03/05/2021,19,27,8,3,2,20-40,1/0,,,,,,,,,,19,4,,155,,TCC10 CarbonCom,7/10/2022 2:23pm,Broadleaf,Alive,227,8,35,TCC11 CarbonCom,05/10/2023 14:10,0.01,0.02,280522.4691,241930.6455,220.8884,,West
10006,19.5,Birch,Sick,4,,Heather Allen,28/6/2021 1:41pm,1,1,Native Broadleaf,No,No,C,010006-2021-06-28,03/05/2021,19,27,8,2,2,20-40,1/0,,,,,,,,,,17,3,,153,,TCC10 CarbonCom,7/10/2022 2:17pm,Broadleaf,Alive,225,11,30,TCC11 CarbonCom,05/10/2023 13:59,0.01,0.02,280510.9751,241924.0699,220.7999,,West
10007,94,Birch,Vigorous ,7.4,,charles nicholls,16/9/2021 2:00pm,1,1,Native Broadleaf,No,No,C,010007-2021-09-16,03/05/2021,19,38,19,5,2,20-40,1/0,,,,,,,,,,25,8,,196,,TCC14 CarbonCom,7/10/2022 2:16pm,Broadleaf,Alive,280,23,39,TCC7 CarbonCom,05/10/2023 14:02,0.02,0.03,280510.8039,241926.2895,220.7469,,West
10008,20,Birch,Healthy,2.2,,Heather Allen,28/6/2021 1:40pm,1,1,Native Broadleaf,No,No,C,010008-2021-06-28,03/05/2021,19,27,8,3,2,20-40,1/0,,,,,,,,,,16,4,,158,,TCC10 CarbonCom,7/10/2022 2:18pm,Broadleaf,Alive,254,12,27,TCC11 CarbonCom,05/10/2023 14:00,0.01,0.02,280512.4888,241925.0842,220.8185,,West
10009,16,Birch,Sick,2,,Heather Allen,28/6/2021 1:38pm,1,1,Native Broadleaf,No,No,C,010009-2021-06-28,03/05/2021,19,27,8,2,2,20-40,1/0,,,,,,,,,,15,3,,141,,TCC10 CarbonCom,7/10/2022 2:20pm,Broadleaf,Alive,223,10,28,TCC11 CarbonCom,05/10/2023 14:06,0.01,0.02,280517.496,241927.9679,220.923,,West
10010,45.2,Birch,Healthy,3.1,,Heather Allen,28/6/2021 1:37pm,1,1,Native Broadleaf,No,No,C,010010-2021-06-28,03/05/2021,19,27,8,6,2,20-40,1/0,,,,,,,,,,21,8,,180,,TCC10 CarbonCom,7/10/2022 2:22pm,Broadleaf,Alive,221,13,31,TCC11 CarbonCom,05/10/2023 14:07,0.01,0.02,280519.0031,241928.8957,220.9764,,West
